Atlanten	اقیانوس اطلس
Att fela är mänskligt|fela	انسان جایز الخطاست
Australien	استرالیا
Babylonien	شهر بابل قدیم
Bagdad	بغداد
Balder|Baldern|Balderr|Baldert	نام خدای واکینگ
Bayern	باداریا: استان جنوبی آلمان
Belgien	بلژیک
Belgrad	بلگراد
Bengalen	بنگال
Bottenhavet	دریای بوتنن
Bottenviken	خلیج بالتیک
Brasilien	برزیل
Bretagne	بریتانی
Bukarest	بُخارست
Bulgarien	بلغارستان
Bättre tiga än illa tala|tala|tiga	زبان سرخ سر سبز میدهد برباد
Calcutta	کلکته
Centralamerika	آمریکای مرکزی
Chefen skulle alltid tafsa på sin sekreterare|tafsa	رئیس بدش نمیآمد که دستی بسرو گوش منشی بکشد.
Chefen är tafsig|tafsig	او رئیسی است که دوست دارد با منشی هایش ور برود.
Chile	شیلی
Cypern	قبرس
Damaskus	دمشق
Danmark	دانمارک
De bakersta|bakersta	آنهائیکه در پشت قرار دارند.
De är flera än vi|flera	تعداد آنها از ما بیشتر است
Den mänskliga faktorn|faktor	عامل (وجود) انسانی
Den som gör de flesta felen	کسیکه بیشترین اشتباهات را مرتکب میشود
Den som söker han finner|finna|söka	عاقبت جوینده یابنده بود
Det billigaste sättet att resa är|sätt	ارزانترین راه مسافرت اینست که  ...
Det far du inte illa av|fara	ضرری بتو نخواهد رسید
Det fattas folk här|fattas	اینجا کارمند کم داریم 
Det fattas pengar för mig|fattas	پول کم دارم
Det finns folk som|finnas	مردمانی هستند که ...
Det flimrar för ögonen på mig|flimra	سرم گیج میرود (چشمانم سیاهی میرود)
Det for genom mitt huvud|fara	ناگهان بفکرم رسید
Det föll mycket snö|falla	خیلی برف بارید
Det ger jag fan i|fan	برایم اهمیتی ندارد
Det går bakut för honom|bakut	در کار او پیشرفتی نیست.
Det hör inte till mitt fack|fack	مربوط به کار (صنف) من نیست
Det kan du slå på backen på!|backe	یقین داشته باش!
Det kan du sätta dig på|sätta	یقین داشته باش
Det kommer att flyta blod|flyta	خونریزی خواهد کرد
Det ligger en baktanke i det här|baktanke	سری در کار است.
Det var ett fasligt väder|faslig|fasligt	هوای خیلی بدی بود
Det är din tur att flytta|flytta|tur	نوبت تو است که حرکت کنی
Det är ett faktum att|faktum	این حقیقتی است که  ...
Det är faktiskt sant|faktiskt	این جدی حقیقت دارد
Det är hans eget fel|fel	تقصیر خودش است
Det är hans sätt|sätt	اخلاق او اینطور نیست
Det är ingen fart i honom|fart	هیچکاری از او سر نمیزند (کندکار است)
Det är inte så farligt|farlig|farligt	چندان هم بد نیست (اهمیتی ندارد)
Det är mer än jag kan fatta|fatta	بیش از قدرت فهم من است
Det är som att tala till en vägg	به گوش خر یاسین خواندن
Det är säsong för jordgubbar nu|säsong	اکنون قصل توت فرنگی است
Du är för feg för det|feg	تو جراتش را نداری
Då blev det andra takter|takt	کارها دوباره از سر گرفته شد.
Egypten	مصر، کشور فراعنه
Eiffeltorn|Eiffeltornet	برج ایفل
En riddare utan fruktan och tadel|tad|tadel	سوارکاری اصیل و بی باک
En ung man med fallenhet för mekanik|fallenhet	مرد جوانی با ااستعداد مکانیک
England	انگلستان
Europa	اروپا، فرنگ
Fatima	فاطمه
Febern släpper|feber	تبش پائین میآید
Finland	فنلاند
Flandern	فلاندرز
Folk säger att|folk	میگویند که ...
Frankrike	فرانسه
Frimärkena fastnar inte|fastna	تمبرها نمی چسبند
Fröken hittade fusklappen tablå|tablå	اوه، خانم معلم تقلب را گرفت.
Fy fan|fan|fy	لعنتی!
Förenta Staterna|stat	ایالات متحده
Ge honom ett finger och han tar hela handen|finger	به گدا که رو میدهی صاحبخانه میشود
Grekland	یونان
Gud vare mig nådig|nådig|nådigt	خدایا بمن رحم کن !
Han drunknade uder badningen|badning	وقتیکه آبتنی میکرد خفه شد.
Han fogade sig alltid efter henne|foga	همیشه او را راضی نگه میداشت
Han föll och gjorde sig illa|falla	او زمین خورد و زخمی شد
Han hade fortfarande sömnen i ögonen|sömn	هنوز چشمانش خواب آلود بود
Han hade många svårigheter att tampas med|tampas	با مشکلاتی بسیاری کشمکش بود.
Han pratar flytande svenska|flytande|prata	او سوئدی را خیلی روان صحبت میکند
Han är en baddare i att spela tennis.|baddare	در تنیس مقام اول را دارد
Han är fången i sin egen sinnevärld|sinnevärld	در دنیای خودش است
Han åker buss fast han har bil|fast	بااینکه ماشین دارد اتوبوس سوار میشود
Hans fack är|fack	تخصص او   ...است
Hans sätt att undervisa är mycket bra|sätt	شیوه تدریس او عالیست
Hissen är sönder|sönder	آسانسور خراب است
Holland	هلند
Hon har fallenhet att parata bredvid mun|fallenhet	او زن خودداری نیست (دهن لق است)
Hur har du kommit på den idéen|idé	چه شد که به این فکر افتادی
Indien	هند
Indonesien	اندونزی
Irak	عراق
Iran	ایران
Israel	اسرائیل
Italien	ایتالیا
Jag betraktar händelsen som en ren bagatell|bagatell	ماجرا برای من بی اهمیت است
Jag finner ingen anledning att|finna	دلیلی نمیبینم که ...
Jag får honom inte ur fläcken|fläck	نمیتوانم او را تکان دهم
Jag har inget att erinra mot|erinra	مخالفتی با آن ندارم
Jag har inte fått någon sömn alls i natt|sömn	من دیشب خواب درستی نکردم
Jag ids inte höra det längre|idas|ids	دیگر حوصله شنیدن آنرا ندارم
Jag kan inte erinra mig att jag har sett honom|erinra	بیاد نمیآورم که او را دیده باشم
Jag skulle aldrig komma på den idéen att|idé	هرگز تصور این را نخواهم کرد که ...
Jag sörjer inte om du|sörja	من ناراحت نمیشوم اگر تو ...
Japan	ژاپن
Jerusalem	اورشلیم، بیت المقدس
Jesus	عیسی
Johannes	یوحنا
Jordanien	اردن
Ju fler kockar desto sämre soppa|fler|flera	آشپز که دو تا شد آش یا شور میشود یا بی نمک
Ju förr desto hellre|desto	هر چه زودتر بهتر
Ju större desto bättre|desto	هر چه بزرگتر باشد بهتر است
Judeen	یهودیه که قسمتی از جنوب فلسطین بوده
Jugoslavien	یوگوسلاوی
Kanada	کانادا
Kina	چین
Lappland	لاپلند
Leopardens fläckar|fläck|leoparden	خالهای روی پوست پلنگ
Libanon	لبنان
Ligga i själatåget|själatåget	در حال مرگ بودن
Ljuset föll på tavlan|falla	نور روی تابلو افتاد
Lucia	جشنی که در روز سیزده دسامبر برگزار میشود، دختری که در جشن لوسیا لباس سفید میپوشد
Man måste smida medan järnet  är varmt|smida	تا تنور داغ است باید نان را چسباند
Man ska inte flyga högre än vingarna bär|flyga	پا را باندازه گلیم خود باید دراز کرد
Man ska inte skåda given häst i munnen|skåda	دندان اسب پیشکشی را نمیشمارند
Man slipper honom inte|slippa	از دستش نمیشود خلاص شد
Man tar seden dit man kommer|sed	همرنگ جماعت شدن
Maria	مریم مقدّس
Marocko	مراکش، مغرب
Medelhavet	دریای مدیترانه
Mellan Östern	خاورمیانه
Mellersta Östern	خاور میانه
Norge	نروژ
Norrland	قسمت شمالی سوئد
Nu gick det upp en talgdank för mig|talgdank	حالا برای من روشن شد، حالا میفهمم
När det faller sig lägligt|falla	هر فرصت مناسبی پیش آمد
Pakistan	پاکستان
Persiska viken	خلیج فارس
Polisen stormade ambassaden|storma	پلیس به سفارت هجوم برد
Pytagoras sats|sats	قضیه فیثاغورث
Riksförsäkringsverket	اداره بیمه های اجتماعی
Rikspolisstyrelse	اداره کل پلیس یا شهربانی
Riksregistret	اداره کل ثبت تابعین سوئد
Riksskatteverket	اداره کل مالیات
Rom	رُم
Ryssland	روسیه یا اتحاد جماهیر شوروی سابق
Räkna från tjugo till ett baklänges|baklänges	از یک تا بیست را برعکس بشمار.
S-märkt|S-märkta	دارای علامت تضمین، انک خورده
Saken fordrar vår uppmärksamhet|fordra	مسئله باید با نظر ما باشد
Sakta i backarna|backe	سخت نگیر (آرام تر)
Sankta Maria	مریم مقدّس
Saudiarabien	عربستان سعودی
Schweiz	سوئیس
Sibirien	سیبری
Sitt som folk|folk	مثل آدم (درست) بنشین
Skandinavien	اسکاندیناوی
Skeppet tog botten|ta	 کشتی به گل نشست.
Skottland	اسکاتلند
Smaken är som baken delad|bak	 سلیقه ها مختلف است.
Småland	استانی در جنوب سوئد به همین نام
Socialstyrelsen	اداره بهداری
Sokrates	سقراط
Sovjetunion|Sovjetunionen	اتحاد جماهیر شوروی
Spanien	اسپانیا
Stilla havet	اقیانوس آرام
Stockarna flyter med strömmen|flyta	چوبها در جریان آب میروند
Storbritannien	بریتانیای کبیر
Sudan	سودان
Svealand	قسمت جنوبی سوئد
Sverige	سوئد
Sverige är indelat i 13 stift|stift	سوئد به سیزده واحد کلیسائی تقسیم شده است
Sydafrika	آفریقای جنوبی
Sydamerika	آمریکای جنوبی یا لاتین
Sydostasien	آسیای جنوب شرقی
Synhjälpscentral	بخشی در بیمارستان برای پذیزش کسانی که از نظر بینائی سخت ناراحت هستند
Syrien	سوریه
Såvitt jag kan erinra mig|erinra	تا آنجا که من بیاد دارم
Söderhavet	نام پیشین اقیانوس آرام
Söta du|söt	عزیزم (جونم )!
TV	تلویزیون
Tala är silver tiga är guld|guld|silver|tala	زبان سرخ سر سبز میدهد برباد
Turkiet	ترکیه
Tv-skärm|skärm	صفحه تلویزیون
Tyskland	آلمان
USA	ایالات متحده آمریکا
Ukraina	اُکراین
Ungern	مجارستان
VPK	حزب کُمونیستی جناح چپ
Vad är det för fasoner|fason	این ادا و اطوار ها چیست؟
Var ska vi sätta honom|sätta	کجا باید او را جایگزین کنیم؟
Vi får talas vid om saken|talas	ما باید در مورد این مطلب با هم صحبتی داشته باشیم
Vi står på samma fläck|fläck	هنوز همانجائی که بودیم هستیم (پیشرفتی نکردیم)
Vi är flera stycken|flera	ما چند نفریم
X fick endast några ströröster|ströröst	X فقط چندین رای دریافت کرد
Yemen	یمن
a	آ، الف
abandon	سهل انگاری
abbe	کشیش کاتولیک
abbedissa	رئیسه دیر
abborre	ماهی خاردار
abbot	رئیس دیر
abdikation	استعفاء، کناره گیری
abdikera	استعفاء دادن, کناره گیری کردن
abdikerade	زمان گذشته از:، استعفاء دادن, کناره گیری کردن
abdikerar	زمان حال از:، استعفاء دادن, کناره گیری کردن
abdikerat	ماضی نقلی و بعید از:، استعفاء دادن, کناره گیری کردن
aber	نقص، مانع
aberration	گمراهی, انحراف
abetsför	قادر بکار، کارگر
abiturient	دانشجو یا کار آموز سال آخر
ablativ	مفعول به
abnorm	غیرعادی, غیر طبیعی, ناقص الخلقه
abnormitet	گمراهی از حالت عادی
abolition	جریمه از دادگاه
abonnemang	اشتراک
abonnemangsavgift	حق اشتراک
abonnent	شخص مشترک
abonnera	مشترک شدن در روزنامه و غیره
abonnerade	زمان گذشته از:، مشترک شدن در روزنامه و غیره
abonnerar	زمان حال از:، مشترک شدن در روزنامه و غیره
abonnerat	ماضی نقلی و بعید از:، مشترک شدن در روزنامه و غیره
abort	1 کورتاژ 2 سقط جنین
abortera	کورتاژ کردن
aborterade	زمان گذشته از:، کورتاژ کردن
aborterar	زمان حال از:، کورتاژ کردن
aborterat	ماضی نقلی و بعید از:، کورتاژ کردن
abortiv	مسقط، رشد نکرده
abortör	کسیکه کورتاژ میکند
abortöriska	دکتر زنی که کورتاژ میکند
abrakadabra	سخن نامفهوم
abrasion	خراش، سائیدگی
abrupt	ناگهانی, غیر منتظره، غیر ممتد
abscess	ورم چرکی
absens	حالت غیاب، غیبت
absint	مشروب قوی ادویه دار
abskissa	طول یکی از محورهای مختصات
absolut	مطلق, کامل مطلقآ، کاملآ
absolution	آمرزش گناه، بخشایش
absolutism	مطلق گرائی
absolvera	کامل کردن, تمام کردن
absolverade	زمان گذشته از:، کامل کردن, تمام کردن
absolverar	زمان حال از:، کامل کردن, تمام کردن
absolverat	ماضی نقلی و بعید از:، کامل کردن, تمام کردن
absorbera	تحلیل بردن، فرا گرفتن، جذب کردن
absorberade	زمان گذشته از:، تحلیل بردن، فرا گرفتن، جذب کردن
absorberande	جذب، دارای خاصیت جذب
absorberar	زمان حال از:، تحلیل بردن، فرا گرفتن، جذب کردن
absorberat	ماضی نقلی و بعید از:، تحلیل بردن، فرا گرفتن، جذب کردن
absorption	جذب، مجذوبیت، تحلیل
absorptionsförmåga	نیروی جذب
abstinens	پرهیز، دوری از الکل
abstinensbesvär	خماری
abstrahera	جدا کردن، دفع کردن
abstraherade	زمان گذشته از:، جدا کردن، دفع کردن
abstraherar	زمان حال از:، جدا کردن، دفع کردن
abstraherat	ماضی نقلی و بعید از:، جدا کردن، دفع کردن
abstrakt	مطلق، ناملموس، نامفهوم
abstraktion	پریشان حواسی، تجرید
abstrus	پنهان، پیچیده
absurd	ناپسند، غیر عقلانی
abundans	فراوانی، وفور
abundant	پر نعمت، بسیار
acceleration	حالت تغییر سرعت، در هر 1-0 ثانیه - شتاب، تسریع
accelerator	شتاب دهنده
accelerera	شتاب کردن، سرعت دادن
accelererade	زمان گذشته از:، شتاب کردن، سرعت دادن
accelererar	زمان حال از:، شتاب کردن، سرعت دادن
accelererat	ماضی نقلی و بعید از:، شتاب کردن، سرعت دادن
accent	تکیه صدا، تأکید
accentuera	با تکیه تلفظ کردن، تأکید کردن
accentuerade	زمان گذشته از:، با تکیه تلفظ کردن، تأکید کردن
accentuerar	زمان حال از:، با تکیه تلفظ کردن، تأکید کردن
accentuerat	ماضی نقلی و بعید از:، با تکیه تلفظ کردن، تأکید کردن
accept	قبول، پذیرش
acceptabel	قابل قبول، پذیرفتنی
acceptant	پذیرنده، قبول کننده
acceptera	قبول کردن، پذیرفتن
accepterade	زمان گذشته از:، قبول کردن، پذیرفتن
accepterar	زمان حال از:، قبول کردن، پذیرفتن
accepterat	ماضی نقلی و بعید از:، قبول کردن، پذیرفتن
acceptering	پذیرش، قبول
accession	افزایش، پیشرفت
accessit	امتیازی که به شاگردان ممتاز بدهند
accessoarer	متعلّقات
accidens	اصول صرف و نحو
accis	مالیات بر کالاهای داخلی
accisfri	بی مالیات
aceton	استون
